id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.province,children_count.municipality,children_count.barangay,zip_codes,geo.lat,geo.lon
021523,3,Bayan,Municipality,Santa Ana,Santa Ana,santa-ana-021523,021523,,021500,Cagayan,Cagayan,,,,16,,18.467,122.15
021524,3,Bayan,Municipality,Santa Praxedes,Santa Praxedes,santa-praxedes-021524,021524,,021500,Cagayan,Cagayan,,,,10,,18.567,121
021525,3,Bayan,Municipality,Santa Teresita,Santa Teresita,santa-teresita-021525,021525,,021500,Cagayan,Cagayan,,,,13,,18.25,121.883
021526,3,Bayan,Municipality,Santo Niño (Faire),Santo Niño (Faire),santo-nio-faire-021526,021526,,021500,Cagayan,Cagayan,,,,31,,17.883,121.567
021527,3,Bayan,Municipality,Solana,Solana,solana-021527,021527,,021500,Cagayan,Cagayan,,,,38,,17.655,121.68889
021528,3,Bayan,Municipality,Tuao,Tuao,tuao-021528,021528,,021500,Cagayan,Cagayan,,,,32,,17.733,121.45
021529,3,Bayan,Municipality,Tuguegarao City,Tuguegarao City,tuguegarao-city-021529,021529,,021500,Cagayan,Cagayan,,,,49,,17.617,121.717
023100,2,Lalawigan,Province,Isabela,Isabela,isabela-023100,023100,,R02,Cagayan Valley,Cagayan Valley,,,37,1055,,16.8104,121.7823
023101,3,Bayan,Municipality,Alicia,Alicia,alicia-023101,023101,,023100,Isabela,Isabela,,,,34,,16.783,121.7
023102,3,Bayan,Municipality,Angadanan,Angadanan,angadanan-023102,023102,,023100,Isabela,Isabela,,,,59,,16.75,121.75
023103,3,Bayan,Municipality,Aurora,Aurora,aurora-023103,023103,,023100,Isabela,Isabela,,,,33,,16.99194,121.63694
023104,3,Bayan,Municipality,Benito Soliven,Benito Soliven,benito-soliven-023104,023104,,023100,Isabela,Isabela,,,,29,,16.983,121.95
023105,3,Bayan,Municipality,Burgos,Burgos,burgos-023105,023105,,023100,Isabela,Isabela,,,,14,,17.067,121.7
023106,3,Bayan,Municipality,Cabagan,Cabagan,cabagan-023106,023106,,023100,Isabela,Isabela,,,,26,,17.433,121.767
023107,3,Bayan,Municipality,Cabatuan,Cabatuan,cabatuan-023107,023107,,023100,Isabela,Isabela,,,,22,,16.95889,121.66917
023108,3,Bayan,Municipality,Cauayan,Cauayan,cauayan-023108,023108,,023100,Isabela,Isabela,,,,65,,13.2937,123.8982
023109,3,Bayan,Municipality,Cordon,Cordon,cordon-023109,023109,,023100,Isabela,Isabela,,,,26,,16.667,121.45
023110,3,Bayan,Municipality,Dinapigue,Dinapigue,dinapigue-023110,023110,,023100,Isabela,Isabela,,,,6,,16.667,122.35
023111,3,Bayan,Municipality,Divilacan,Divilacan,divilacan-023111,023111,,023100,Isabela,Isabela,,,,12,,17.333,122.3
023112,3,Bayan,Municipality,Echague,Echague,echague-023112,023112,,023100,Isabela,Isabela,,,,64,,16.7,121.65
